APPEND|Append a value to a key
AUTH|Authenticate to the server
BGREWRITEAOF|Asynchronously rewrite the append-only file
BGSAVE|Asynchronously save the dataset to disk
BITCOUNT|Count set bits in a string
BITOP|Perform bitwise operations between strings
BITPOS|Find first bit set or clear in a string
BLPOP|Remove and get the first element in a list, or block until one is available
BRPOP|Remove and get the last element in a list, or block until one is available
BRPOPLPUSH|Pop a value from a list, push it to another list and return it; or block until one is available
CLIENT KILL|Kill the connection of a client
CLIENT LIST|Get the list of client connections
CLIENT GETNAME|Get the current connection name
CLIENT PAUSE|Stop processing commands from clients for some time
CLIENT REPLY|Instruct the server whether to reply to commands
CLIENT SETNAME|Set the current connection name
CLUSTER ADDSLOTS|Assign new hash slots to receiving node
CLUSTER COUNT-FAILURE-REPORTS|Return the number of failure reports active for a given node
CLUSTER COUNTKEYSINSLOT|Return the number of local keys in the specified hash slot
CLUSTER DELSLOTS|Set hash slots as unbound in receiving node
CLUSTER FAILOVER|Forces a slave to perform a manual failover of its master.
CLUSTER FORGET|Remove a node from the nodes table
CLUSTER GETKEYSINSLOT|Return local key names in the specified hash slot
CLUSTER INFO|Provides info about Redis Cluster node state
CLUSTER KEYSLOT|Returns the hash slot of the specified key
CLUSTER MEET|Force a node cluster to handshake with another node
CLUSTER NODES|Get Cluster config for the node
CLUSTER REPLICATE|Reconfigure a node as a slave of the specified master node
CLUSTER RESET|Reset a Redis Cluster node
CLUSTER SAVECONFIG|Forces the node to save cluster state on disk
CLUSTER SET-CONFIG-EPOCH|Set the configuration epoch in a new node
CLUSTER SETSLOT|Bind an hash slot to a specific node
CLUSTER SLAVES|List slave nodes of the specified master node
CLUSTER SLOTS|Get array of Cluster slot to node mappings
COMMAND|Get array of Redis command details
COMMAND COUNT|Get total number of Redis commands
COMMAND GETKEYS|Extract keys given a full Redis command
COMMAND INFO|Get array of specific Redis command details
CONFIG GET|Get the value of a configuration parameter
CONFIG REWRITE|Rewrite the configuration file with the in memory configuration
CONFIG SET|Set a configuration parameter to the given value
CONFIG RESETSTAT|Reset the stats returned by INFO
DBSIZE|Return the number of keys in the selected database
DEBUG OBJECT|Get debugging information about a key
DEBUG SEGFAULT|Make the server crash
DECR|Decrement the integer value of a key by one
DECRBY|Decrement the integer value of a key by the given number
DEL|Delete a key
DISCARD|Discard all commands issued after MULTI
DUMP|Return a serialized version of the value stored at the specified key.
ECHO|Echo the given string
EVAL|Execute a Lua script server side
EVALSHA|Execute a Lua script server side
EXEC|Execute all commands issued after MULTI
EXISTS|Determine if a key exists
EXPIRE|Set a key's time to live in seconds
EXPIREAT|Set the expiration for a key as a UNIX timestamp
FLUSHALL|Remove all keys from all databases
FLUSHDB|Remove all keys from the current database
GEOADD|Add one or more geospatial items in the geospatial index represented using a sorted set
GEOHASH|Returns members of a geospatial index as standard geohash strings
GEOPOS|Returns longitude and latitude of members of a geospatial index
GEODIST|Returns the distance between two members of a geospatial index
GEORADIUS|Query a sorted set representing a geospatial index to fetch members matching a given maximum distance from a point
GEORADIUSBYMEMBER|Query a sorted set representing a geospatial index to fetch members matching a given maximum distance from a member
GET|Get the value of a key
GETBIT|Returns the bit value at offset in the string value stored at key
GETRANGE|Get a substring of the string stored at a key
GETSET|Set the string value of a key and return its old value
HDEL|Delete one or more hash fields
HEXISTS|Determine if a hash field exists
HGET|Get the value of a hash field
HGETALL|Get all the fields and values in a hash
HINCRBY|Increment the integer value of a hash field by the given number
HINCRBYFLOAT|Increment the float value of a hash field by the given amount
HKEYS|Get all the fields in a hash
HLEN|Get the number of fields in a hash
HMGET|Get the values of all the given hash fields
HMSET|Set multiple hash fields to multiple values
HSET|Set the string value of a hash field
HSETNX|Set the value of a hash field, only if the field does not exist
HSTRLEN|Get the length of the value of a hash field
HVALS|Get all the values in a hash
INCR|Increment the integer value of a key by one
INCRBY|Increment the integer value of a key by the given amount
INCRBYFLOAT|Increment the float value of a key by the given amount
INFO|Get information and statistics about the server
KEYS|Find all keys matching the given pattern
LASTSAVE|Get the UNIX time stamp of the last successful save to disk
LINDEX|Get an element from a list by its index
LINSERT|Insert an element before or after another element in a list
LLEN|Get the length of a list
LPOP|Remove and get the first element in a list
LPUSH|Prepend one or multiple values to a list
LPUSHX|Prepend a value to a list, only if the list exists
LRANGE|Get a range of elements from a list
LREM|Remove elements from a list
LSET|Set the value of an element in a list by its index
LTRIM|Trim a list to the specified range
MGET|Get the values of all the given keys
MIGRATE|Atomically transfer a key from a Redis instance to another one.
MONITOR|Listen for all requests received by the server in real time
MOVE|Move a key to another database
MSET|Set multiple keys to multiple values
MSETNX|Set multiple keys to multiple values, only if none of the keys exist
MULTI|Mark the start of a transaction block
OBJECT|Inspect the internals of Redis objects
PERSIST|Remove the expiration from a key
PEXPIRE|Set a key's time to live in milliseconds
PEXPIREAT|Set the expiration for a key as a UNIX timestamp specified in milliseconds
PFADD|Adds the specified elements to the specified HyperLogLog.
